INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO;x_metros;y_metros;CLUSTER;ROUTE_NUM
400121201.0;-22.81146;-43.326529;72_203;269.0;ATILIO PARIM;509.0;840;543;15;0
400341582.0;-22.809989;-43.329211;72_204;80.0;ATILIO PARIM;201.0;1003;221;29;0
400133758.0;-22.810458;-43.324248;72_202;391.0;MIN ARTUR COSTA;404.0;951;744;28;0
400091624.0;-22.809244;-43.326239;72_202;175.0;VIANA DO CASTELO;39.0;1086;501;0;0
400003468.0;-22.80347;-43.325527;72_207;205.0;FLAVIO DA SILVEIRA;12.0;1728;386;23;0
400137592.0;-22.81264;-43.32694;72_203;155.0;ANTONIO DA SILVA;0.0;709;540;15;1
400095235.0;-22.811441;-43.326563;72_203;310.0;ATILIO PARIM;505.0;842;539;15;2
400134268.0;-22.809605;-43.324034;72_202;5.0;MIN ARTUR COSTA;0.0;1046;738;0;1
400092238.0;-22.810639;-43.318644;72_212;135.0;LOURIVAL INACIO;1.0;931;1324;16;0
400341589.0;-22.810084;-43.329037;72_206;82.0;ATILIO PARIM;251.0;993;242;29;1
400100653.0;-22.808541;-43.322804;72_208;264.0;MOZART;0.0;1164;830;11;0
400377699.0;-22.81025;-43.328906;72_204;440.0;ATILIO PARIM;230.0;974;260;29;2
400086669.0;-22.808209;-43.330178;90_2;26.0;MONS CASTELO BRANCO;26.0;1201;64;9;0
400091504.0;-22.802891;-43.323863;604_3;37.0;CONSTANTINO MENELAU;0.0;1792;537;23;1
400107452.0;-22.802793;-43.323993;604_3;15.0;TALES DE CARVALHO;164.0;1803;521;23;2
400086611.0;-22.810693;-43.330415;604_3;28.0;RODOLFO CHAMBELLAND;387.0;925;120;29;3
400086763.0;-22.81302;-43.3274;72_203;330.0;JOAO DE PAULA FONSECA;0.0;666;505;15;3
400125720.0;-22.80675;-43.326274;72_205;147.0;BARAO DE STUDART;0.0;1363;416;6;0
401438158.0;-22.804502;-43.327991;604_3;1.0;LIRIO-FAV PHIDIAS TAVORA;60.0;1613;167;3;0
400296064.0;-22.809618;-43.324043;72_202;3.0;MIN ARTUR COSTA;0.0;1044;738;0;2
400101307.0;-22.8074;-43.32154;72_210;390.0;DEBUSSY;0.0;1291;922;2;0
401438278.0;-22.804504;-43.328178;94_0;0.0;ORQUIDEA-F PHIDIAS TAVORA;42.0;1613;148;3;1
402279719.0;-22.818946;-43.318989;72_201;4.0;PRES DUTRA;142.0;8;1559;19;0
400083797.0;-22.811714;-43.330091;72_203;108.0;MAL JOSE PESSOA;0.0;812;187;8;0
400480946.0;-22.802513;-43.3266;83_110;649.0;PROJETADA DO DIQUE;23.0;1834;245;3;2
401438165.0;-22.8045;-43.327883;94_0;0.0;LIRIO-FAV PHIDIAS TAVORA;70.0;1613;178;3;3
400482461.0;-22.802536;-43.326702;83_110;644.0;PROJETADA DO DIQUE;21.0;1831;235;3;4
401438136.0;-22.804504;-43.328157;94_0;0.0;LIRIO-FAV PHIDIAS TAVORA;44.0;1613;150;3;5
400091796.0;-22.811921;-43.318015;75_169;373.0;ALVARENGA PEIXOTO;6.0;789;1430;16;1
400481698.0;-22.802648;-43.320992;83_110;647.0;PROJETADA DO DIQUE;228.0;1819;823;25;0
400488699.0;-22.802578;-43.326771;83_110;643.0;PROJETADA DO DIQUE;19.0;1827;229;3;6
400218852.0;-22.817238;-43.322168;72_201;12.0;PRESIDENTE DUTRA;482.0;198;1178;22;0
400165026.0;-22.811744;-43.317836;75_169;372.0;ALVARENGA PEIXOTO;6.0;808;1443;16;2
400098031.0;-22.811714;-43.33009;72_203;109.0;MAL JOSE PESSOA;0.0;812;187;8;1
