INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO;x_metros;y_metros;CLUSTER;ROUTE_NUM
400121201.0;-22.81146;-43.326529;72_203;269.0;ATILIO PARIM;509.0;840;543;5;0
400341582.0;-22.809989;-43.329211;72_204;80.0;ATILIO PARIM;201.0;1003;221;7;0
400133758.0;-22.810458;-43.324248;72_202;391.0;MIN ARTUR COSTA;404.0;951;744;20;0
400091624.0;-22.809244;-43.326239;72_202;175.0;VIANA DO CASTELO;39.0;1086;501;15;0
400003468.0;-22.80347;-43.325527;72_207;205.0;FLAVIO DA SILVEIRA;12.0;1728;386;21;0
400137592.0;-22.81264;-43.32694;72_203;155.0;ANTONIO DA SILVA;0.0;709;540;5;16
400095235.0;-22.811441;-43.326563;72_203;310.0;ATILIO PARIM;505.0;842;539;5;2
400134268.0;-22.809605;-43.324034;72_202;5.0;MIN ARTUR COSTA;0.0;1046;738;15;89
400092238.0;-22.810639;-43.318644;72_212;135.0;LOURIVAL INACIO;1.0;931;1324;23;0
400341589.0;-22.810084;-43.329037;72_206;82.0;ATILIO PARIM;251.0;993;242;7;79
400100653.0;-22.808541;-43.322804;72_208;264.0;MOZART;0.0;1164;830;3;0
400377699.0;-22.81025;-43.328906;72_204;440.0;ATILIO PARIM;230.0;974;260;7;62
400086669.0;-22.808209;-43.330178;90_2;26.0;MONS CASTELO BRANCO;26.0;1201;64;19;0
400091504.0;-22.802891;-43.323863;604_3;37.0;CONSTANTINO MENELAU;0.0;1792;537;4;0
400107452.0;-22.802793;-43.323993;604_3;15.0;TALES DE CARVALHO;164.0;1803;521;4;4
400086611.0;-22.810693;-43.330415;604_3;28.0;RODOLFO CHAMBELLAND;387.0;925;120;7;70
400086763.0;-22.81302;-43.3274;72_203;330.0;JOAO DE PAULA FONSECA;0.0;666;505;5;193
400125720.0;-22.80675;-43.326274;72_205;147.0;BARAO DE STUDART;0.0;1363;416;17;0
401438158.0;-22.804502;-43.327991;604_3;1.0;LIRIO-FAV PHIDIAS TAVORA;60.0;1613;167;10;0
400296064.0;-22.809618;-43.324043;72_202;3.0;MIN ARTUR COSTA;0.0;1044;738;15;91
400101307.0;-22.8074;-43.32154;72_210;390.0;DEBUSSY;0.0;1291;922;29;0
401438278.0;-22.804504;-43.328178;94_0;0.0;ORQUIDEA-F PHIDIAS TAVORA;42.0;1613;148;10;87
402279719.0;-22.818946;-43.318989;72_201;4.0;PRES DUTRA;142.0;8;1559;11;0
400083797.0;-22.811714;-43.330091;72_203;108.0;MAL JOSE PESSOA;0.0;812;187;14;0
400480946.0;-22.802513;-43.3266;83_110;649.0;PROJETADA DO DIQUE;23.0;1834;245;21;27
401438165.0;-22.8045;-43.327883;94_0;0.0;LIRIO-FAV PHIDIAS TAVORA;70.0;1613;178;10;1
400482461.0;-22.802536;-43.326702;83_110;644.0;PROJETADA DO DIQUE;21.0;1831;235;21;28
401438136.0;-22.804504;-43.328157;94_0;0.0;LIRIO-FAV PHIDIAS TAVORA;44.0;1613;150;10;88
400091796.0;-22.811921;-43.318015;75_169;373.0;ALVARENGA PEIXOTO;6.0;789;1430;23;234
400481698.0;-22.802648;-43.320992;83_110;647.0;PROJETADA DO DIQUE;228.0;1819;823;16;0
400488699.0;-22.802578;-43.326771;83_110;643.0;PROJETADA DO DIQUE;19.0;1827;229;21;29
400218852.0;-22.817238;-43.322168;72_201;12.0;PRESIDENTE DUTRA;482.0;198;1178;8;0
400165026.0;-22.811744;-43.317836;75_169;372.0;ALVARENGA PEIXOTO;6.0;808;1443;23;232
400098031.0;-22.811714;-43.33009;72_203;109.0;MAL JOSE PESSOA;0.0;812;187;14;113
400109712.0;-22.809773;-43.324073;72_202;2.0;MIN ARTUR COSTA;0.0;1027;740;15;92
400482517.0;-22.811638;-43.317469;75_169;404.0;ALVARENGA PEIXOTO;0.0;820;1477;23;173
402086105.0;-22.815031;-43.323595;72_201;44.0;GAL CORREA E CASTRO;448.0;443;960;27;0
401349603.0;-22.802546;-43.327089;87_406;363.0;SOSSEGO;8.0;1830;196;21;102
400415528.0;-22.802738;-43.324031;604_3;3.0;TALES DE CARVALHO;30.0;1809;515;4;34
400352577.0;-22.810612;-43.317281;72_212;417.0;TEIXEIRA E SOUSA;72.0;934;1463;23;208
402555076.0;-22.804028;-43.326706;72_207;303.0;MAL JOSE PESSOA;65.0;1666;283;21;158
400397647.0;-22.810354;-43.318004;72_212;285.0;GREGORIO DE MATOS;527.0;963;1380;23;206
401960127.0;-22.811154;-43.329516;4_69;141.0;ARLINDO ANTONIO DA SILVA;3.0;874;227;14;63
400095843.0;-22.807879;-43.327385;72_206;116.0;GELABERT SIMAS;198.0;1238;339;1;0
400091254.0;-22.807827;-43.323462;72_208;435.0;DEBUSSY;12.0;1243;739;22;0
400360977.0;-22.807347;-43.327218;72_206;168.0;PROF COSTA RIBEIRO;510.0;1297;339;1;244
400091899.0;-22.81281;-43.317118;72_212;443.0;CORREA DIAS;1392.0;690;1551;26;0
400157189.0;-22.811523;-43.317906;61_0;0.0;ANTONIO LOPES;81.0;833;1429;23;39
400431856.0;-22.811281;-43.325053;72_205;204.0;MIN ARTUR COSTA;425.0;860;689;20;69
400388168.0;-22.810255;-43.327136;72_204;403.0;PADRE PERONEILLE;213.0;974;442;25;0
400360966.0;-22.80997;-43.329007;72_204;362.0;PROF COSTA RIBEIRO;260.0;1005;241;7;155
400101820.0;-22.802874;-43.325788;72_207;246.0;TALES DE CARVALHO;234.0;1794;340;21;118
400428707.0;-22.81112;-43.325152;72_205;373.0;MONS CASTELO BRANCO;566.0;878;673;20;10
400117660.0;-22.810617;-43.323904;72_202;348.0;RICHARD STRAUSS;61.0;933;785;20;58
400415526.0;-22.812405;-43.323607;72_202;274.0;FRANZ SCHUBERT;143.0;735;873;13;0
402503732.0;-22.803534;-43.325294;72_207;149.0;FLAVIO DA SILVEIRA;122.0;1720;412;21;75
401732354.0;-22.8124;-43.328452;72_203;133.0;PADRE PERONEILLE;70.0;735;377;14;38
400255709.0;-22.814279;-43.323412;72_201;97.0;JORN GERALDO ROCHA;146.0;527;954;27;51
400098713.0;-22.811599;-43.323886;72_202;374.0;FREDERIC CHOPIN;85.0;824;819;20;50
401228064.0;-22.815348;-43.321476;72_201;317.0;GAL MAGALHAES BARATA;182.0;408;1187;8;122
400460256.0;-22.810113;-43.324149;72_202;394.0;MIN ARTUR COSTA;432.0;989;743;15;55
402051653.0;-22.803361;-43.326711;72_207;222.0;TALES DE CARVALHO;345.0;1740;261;21;131
401563782.0;-22.805007;-43.328141;83_115;964.0;RODOLFO CHAMBELLAND;739.0;1557;168;10;149
401206710.0;-22.807036;-43.329725;83_115;959.0;RODOLFO CHAMBELLAND;481.0;1331;72;28;0
400432494.0;-22.805613;-43.328486;83_115;962.0;RODOLFO CHAMBELLAND;729.0;1489;152;28;72
400157567.0;-22.813357;-43.317731;80_115;1.0;LOURIVAL INACIO;109.0;629;1506;26;27
401438143.0;-22.804503;-43.328095;94_0;0.0;LIRIO-FAV PHIDIAS TAVORA;50.0;1613;156;10;91
401438161.0;-22.80453;-43.327947;83_90;175.0;LIRIO-FAV PHIDIAS TAVORA;64.0;1610;172;10;2
400338173.0;-22.804126;-43.324487;72_209;22.0;SEBASTIAN BACH;12.0;1655;514;4;30
401519367.0;-22.805495;-43.328419;83_115;961.0;RODOLFO CHAMBELLAND;727.0;1503;155;10;15
400107465.0;-22.803731;-43.326403;72_207;141.0;FLAVIO DA SILVEIRA;12.0;1699;304;21;140
400107014.0;-22.803595;-43.326145;72_207;215.0;FLAVIO DA SILVEIRA;0.0;1714;326;21;67
400428695.0;-22.80749;-43.323973;72_208;30.0;MIN ARTUR COSTA;702.0;1281;676;22;79
400453285.0;-22.812673;-43.322726;65_825;12.0;JORN GERALDO ROCHA;295.0;705;972;13;214
400157550.0;-22.812483;-43.317987;72_212;20.0;LOURIVAL INACIO;92.0;726;1452;18;0
400157784.0;-22.816401;-43.320162;72_201;253.0;CARI LEVI;39.0;291;1356;8;111
400157194.0;-22.812308;-43.31776;72_212;466.0;ANTONIO LOPES;86.0;746;1469;18;143
400158209.0;-22.811376;-43.318458;72_212;102.0;QUINCAS LARANJEIRAS;71.0;849;1367;23;214
400158282.0;-22.814285;-43.317842;72_213;382.0;QUINCAS LARANJEIRAS;144.0;526;1525;26;132
400139780.0;-22.814864;-43.322697;72_201;83.0;CARI LEVI;264.0;462;1047;27;128
400157201.0;-22.811665;-43.317851;72_212;459.0;ANTONIO LOPES;93.0;817;1439;23;174
400483666.0;-22.802592;-43.324222;604_3;8.0;TALES DE CARVALHO;46.0;1825;491;21;148
400158152.0;-22.809337;-43.318981;72_212;196.0;QUINCAS LARANJEIRAS;14.0;1076;1247;24;0
400372647.0;-22.812735;-43.329163;72_203;60.0;SAO CIRO;108.0;698;315;14;69
400157785.0;-22.816401;-43.320162;72_201;254.0;CARI LEVI;39.0;291;1356;8;147
400157581.0;-22.8138;-43.317684;72_214;279.0;LOURIVAL INACIO;126.0;580;1525;26;13
401350929.0;-22.810795;-43.319447;72_211;368.0;JORN GERALDO ROCHA;691.0;914;1247;24;243
400355208.0;-22.814414;-43.32139;72_201;379.0;JORGE LACERDA;21.0;512;1166;27;126
400532817.0;-22.815113;-43.321318;72_201;325.0;GAL MAGALHAES BARATA;210.0;434;1196;8;141
401609654.0;-22.803248;-43.325638;72_207;206.0;FLAVIO DA SILVEIRA;103.0;1752;367;21;55
400157465.0;-22.809094;-43.318723;72_212;237.0;LOURIVAL INACIO;7.0;1103;1266;24;122
400481169.0;-22.808295;-43.324258;72_208;331.0;OTAVIO MANGABEIRA;26.0;1191;673;22;128
400157479.0;-22.809529;-43.318623;72_212;230.0;LOURIVAL INACIO;21.0;1054;1290;24;53
400158145.0;-22.809145;-43.318977;72_212;177.0;QUINCAS LARANJEIRAS;7.0;1097;1241;24;4
400385214.0;-22.806556;-43.326747;72_206;312.0;PINTOR MARQUES JUNIOR;223.0;1385;361;17;98
400481168.0;-22.808295;-43.324258;72_208;331.0;OTAVIO MANGABEIRA;26.0;1191;673;22;233
400158150.0;-22.809276;-43.318996;72_212;195.0;QUINCAS LARANJEIRAS;12.0;1082;1244;24;5
400157497.0;-22.810082;-43.318495;61_0;0.0;LOURIVAL INACIO;39.0;993;1321;24;88
400255724.0;-22.811856;-43.322042;72_211;2.0;JORN GERALDO ROCHA;375.0;796;1016;6;0
400157119.0;-22.809187;-43.318437;72_212;388.0;ANTONIO LOPES;11.0;1092;1298;24;150
400356566.0;-22.811652;-43.321308;72_211;419.0;ROBERT SCHUMANN;682.0;818;1084;6;110
401928214.0;-22.817351;-43.319162;72_201;135.0;PROF FRANCA AMARAL;226.0;185;1490;2;0
401792310.0;-22.815179;-43.320861;72_201;282.0;PROF FRANCA AMARAL;553.0;427;1245;8;78
400336398.0;-22.807757;-43.321751;72_210;31.0;FRANZ LISZT;416.0;1251;912;3;136
400051810.0;-22.816883;-43.317155;72_214;93.0;MAL ANTONIO SOUZA;182.0;237;1680;11;51
400158142.0;-22.809026;-43.319057;72_212;191.0;QUINCAS LARANJEIRAS;4.0;1110;1229;24;127
400157594.0;-22.814297;-43.317571;72_214;309.0;LOURIVAL INACIO;142.0;525;1553;26;52
400157467.0;-22.810678;-43.318651;72_212;132.0;LOURIVAL INACIO;9.0;927;1325;23;55
400120708.0;-22.803525;-43.325235;72_207;150.0;FLAVIO DA SILVEIRA;132.0;1721;417;21;63
400157552.0;-22.812543;-43.317973;72_212;19.0;LOURIVAL INACIO;94.0;719;1455;18;109
400401682.0;-22.816844;-43.317473;72_214;48.0;MAL ANTONIO SOUZA;173.0;242;1646;11;44
400338182.0;-22.810211;-43.324167;72_202;393.0;MIN ARTUR COSTA;432.0;979;745;15;56
400096192.0;-22.813574;-43.32504;72_202;146.0;CARI LEVI;504.0;605;765;13;101
400381582.0;-22.804031;-43.326121;72_207;137.0;MAL JOSE PESSOA;115.0;1665;343;21;23
400479019.0;-22.805222;-43.324204;72_209;38.0;SEBASTIAN BACH;122.0;1533;578;4;80
400098191.0;-22.803605;-43.325629;72_207;147.0;FLAVIO DA SILVEIRA;92.0;1713;380;21;52
400329692.0;-22.807509;-43.322024;72_210;38.0;DEBUSSY;371.0;1279;876;29;42
400336388.0;-22.806113;-43.321931;72_210;58.0;FRANZ LISZT;241.0;1434;840;29;140
400373464.0;-22.803405;-43.3248;72_207;154.0;FLAVIO DA SILVEIRA;182.0;1735;458;21;116
401595518.0;-22.808909;-43.326279;72_206;90.0;PADRE PERONEILLE;691.0;1123;486;1;159
400157187.0;-22.811464;-43.317919;72_212;346.0;ANTONIO LOPES;79.0;839;1425;23;37
400378413.0;-22.811611;-43.320731;72_213;129.0;JORN GERALDO ROCHA;590.0;823;1142;6;130
400389298.0;-22.813744;-43.319573;72_213;491.0;GAL MAGALHAES BARATA;495.0;586;1330;18;148
400428708.0;-22.81112;-43.325152;72_205;374.0;MONS CASTELO BRANCO;566.0;878;673;20;9
402169797.0;-22.806534;-43.32495;72_208;303.0;MIN ARTUR COSTA;825.0;1387;545;17;171
401732192.0;-22.810987;-43.319123;72_213;159.0;JORN GERALDO ROCHA;760.0;892;1286;23;242
401711242.0;-22.807306;-43.320971;72_210;391.0;DEBUSSY;287.0;1301;977;29;100
400157220.0;-22.813378;-43.317512;72_214;365.0;ANTONIO LOPES;112.0;627;1529;26;20
400157466.0;-22.8091;-43.318775;61_0;0.0;LOURIVAL INACIO;8.0;1102;1261;24;123
400126808.0;-22.811665;-43.317851;72_212;468.0;ANTONIO LOPES;83.0;817;1439;23;224
400159855.0;-22.803512;-43.32514;72_207;151.0;FLAVIO DA SILVEIRA;142.0;1723;427;21;155
400101352.0;-22.812062;-43.322301;72_202;6.0;JORN GERALDO ROCHA;327.0;773;996;6;91
400157153.0;-22.810232;-43.3182;72_212;369.0;ANTONIO LOPES;45.0;976;1356;23;81
400255708.0;-22.814279;-43.323412;72_201;96.0;JORN GERALDO ROCHA;146.0;527;954;27;62
400355209.0;-22.814414;-43.32139;72_201;380.0;JORGE LACERDA;21.0;512;1166;27;140
400342127.0;-22.816424;-43.321361;72_201;128.0;GAL CORREA E CASTRO;185.0;288;1234;8;173
400037166.0;-22.803782;-43.322847;72_209;111.0;MAL JOSE PESSOA;270.0;1693;670;4;54
400390451.0;-22.811122;-43.319563;72_213;153.0;JORN GERALDO ROCHA;720.0;877;1246;6;201
400089513.0;-22.811885;-43.321352;72_213;112.0;JORN GERALDO ROCHA;544.0;793;1087;6;181
400461765.0;-22.806068;-43.324719;72_208;51.0;MIN ARTUR COSTA;840.0;1439;553;17;174
400158277.0;-22.814274;-43.317785;72_213;392.0;QUINCAS LARANJEIRAS;139.0;527;1531;26;131
400381998.0;-22.803579;-43.326537;72_207;219.0;FLAVIO DA SILVEIRA;35.0;1715;286;21;25
401596191.0;-22.814091;-43.320344;72_213;1.0;CRISTIANO MACHADO;591.0;547;1262;18;132
400049385.0;-22.811425;-43.320286;72_213;138.0;JORN GERALDO ROCHA;646.0;844;1182;6;131
400419240.0;-22.811204;-43.319759;72_213;148.0;JORN GERALDO ROCHA;700.0;868;1228;6;194
400383837.0;-22.80563;-43.322553;72_210;223.0;ATILIO VIVAQUA;220.0;1488;761;9;0
